Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	kworker/3:2	8217	Sleeping	33625.75421	16812.87711	2
kthreadd	2	kworker/3:2H	18820	Sleeping	31340.3396	10446.77987	3
kthreadd	2	migration/3	24	Sleeping	31094.71073	7773.677681	4
kthreadd	2	cpuhp/3	23	Sleeping	31031.64311	10343.88104	3
kthreadd	2	hang_detect	180	Uninterruptible Sleep	30719.74807	30719.74807	1
kthreadd	2	migration/0	10	Sleeping	27509.16452	9169.721507	3
kthreadd	2	migration/2	19	Sleeping	26745.75768	26745.75768	1
kthreadd	2	wdtk-3	224	Sleeping	24499.50461	8166.501535	3
kthreadd	2	wdtk-1	220	Sleeping	20906.46432	20906.46432	1
kthreadd	2	wdtk-0	219	Sleeping	20479.71097	20479.71097	1
kthreadd	2	bat_percent_not	59	Sleeping	19999.98092	9999.990462	2
kthreadd	2	bat_update_thre	203	Uninterruptible Sleep	19972.16	9986.079998	2
kthreadd	2	bat_routine_thr	202	Uninterruptible Sleep	19893.96853	288.318384	69
/system/bin/surfaceflinger	3534	Binder:3534_5	4093	Sleeping	19588.97735	3917.795469	5
kthreadd	2	kcompactd0	30	Sleeping	19351.16825	921.484202	21
kthreadd	2	wdtk-2	221	Sleeping	19342.63855	19342.63855	1
kthreadd	2	pbm	156	Sleeping	19237.93008	4809.482519	4
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Sleeping	18406.68284	4601.67071	4
kthreadd	2	kworker/u9:2	14898	Sleeping	17272.10928	4.956128	3485
kthreadd	2	kauditd	255	Sleeping	17173.22741	592.180255	29
kthreadd	2	migration/1	14	Sleeping	17088.76256	899.408555	19
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	17063.25978	1066.453736	16
/system/bin/surfaceflinger	3534	app	3548	Sleeping	17030.9724	19.093018	892
kthreadd	2	mtk charger_hv_	204	Sleeping	16999.57616	999.975068	17
kthreadd	2	kworker/3:0	14322	Sleeping	16846.44492	8423.222458	2
/system/bin/surfaceflinger	3534	GPU completion	26149	Sleeping	16716.3826	928.687922	18
/system/bin/surfaceflinger	3534	mali-cmar-backe	3572	Sleeping	16687.83983	320.919996	52
kthreadd	2	kworker/u9:3	14309	Sleeping	16658.33628	6.59736	2525
kthreadd	2	ksoftirqd/0	6	Sleeping	16632.56643	171.469757	97
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	16583.76289	338.44414	49
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	16569.52274	52.937772	313
