Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	migration/0	10	Sleeping	23914.65947	11957.32974	2
kthreadd	2	kworker/3:2	8217	Sleeping	23190.27409	23190.27409	1
kthreadd	2	wdtk-3	224	Sleeping	23190.24924	11595.12462	2
kthreadd	2	kworker/3:0	14322	Sleeping	23190.21863	11595.10931	2
kthreadd	2	kworker/3:2H	18820	Sleeping	22103.16752	11051.58376	2
kthreadd	2	migration/2	19	Sleeping	22102.54913	22102.54913	1
kthreadd	2	migration/3	24	Sleeping	21747.22687	21747.22687	1
kthreadd	2	cpuhp/3	23	Sleeping	21721.48071	10860.74036	2
kthreadd	2	wdtk-2	221	Sleeping	20053.20293	20053.20293	1
kthreadd	2	bat_percent_not	59	Sleeping	19999.98777	9999.993885	2
kthreadd	2	bat_update_thre	203	Uninterruptible Sleep	19984.79962	9992.399807	2
kthreadd	2	bat_routine_thr	202	Uninterruptible Sleep	19949.27439	262.490452	76
/system/bin/surfaceflinger	3534	GPU completion	26149	Sleeping	19402.39933	970.119966	20
/system/bin/surfaceflinger	3534	mali-cmar-backe	3572	Sleeping	19381.18625	302.831035	64
/system/bin/surfaceflinger	3534	surfaceflinger	3547	Sleeping	18652.19664	746.087865	25
/system/bin/surfaceflinger	3534	HwBinder:3534_1	3575	Sleeping	18334.78238	53.144296	345
kthreadd	2	file-storage	1853	Sleeping	18137.01766	549.606595	33
kthreadd	2	kcompactd0	30	Sleeping	17222.76019	313.141094	55
kthreadd	2	ksoftirqd/2	20	Sleeping	17027.75532	293.581988	58
kthreadd	2	mtk charger_hv_	204	Sleeping	16999.71055	999.982973	17
/system/bin/surfaceflinger	3534	app	3548	Sleeping	16612.86559	14.3091	1161
/system/bin/surfaceflinger	3534	mali-mem-purge	3567	Sleeping	16572.25989	720.533038	23
/system/bin/surfaceflinger	3534	mali-hist-dump	3573	Sleeping	16571.33512	753.242505	22
kthreadd	2	kworker/2:2	8343	Sleeping	16506.38466	71.766889	230
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	16501.42334	181.334322	91
kthreadd	2	frame_update_wo	186	Sleeping	16443.95601	16.593295	991
kthreadd	2	present_fence_w	185	Sleeping	16408.90621	16.574652	990
kthreadd	2	hps_main	158	Sleeping	16398.53087	99.991041	164
kthreadd	2	kworker/1:0	2943	Sleeping	16340.18178	98.434829	166
kthreadd	2	ksoftirqd/3	25	Sleeping	16316.49787	319.93133	51
kthreadd	2	kworker/2:1H	9263	Sleeping	16270.72092	4.494674	3620
kthreadd	2	kworker/0:1H	233	Sleeping	16247.65261	6.626285	2452
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	16181.18655	57.584293	281
kthreadd	2	kworker/3:1	14545	Sleeping	16178.18984	99.865369	162
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	16114.37369	358.097193	45
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Sleeping	16061.90553	61.304982	262
kthreadd	2	migration/1	14	Sleeping	16012.74591	4003.186477	4
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	15995.75337	999.734585	16
org.mozilla.firefox	13990	mali-mem-purge	14145	Sleeping	15988.04238	164.825179	97
kthreadd	2	kworker/0:1	16347	Sleeping	15970.72123	27.114976	589
kthreadd	2	kworker/3:0H	24523	Sleeping	15901.21897	26.110375	609
kthreadd	2	rcu_preempt	7	Sleeping	15897.663	8.570168	1855
kthreadd	2	kworker/u9:4	14337	Sleeping	15881.18267	11.020945	1441
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	15868.21418	6.890236	2303
kthreadd	2	kauditd	255	Sleeping	15832.82512	608.954812	26
kthreadd	2	ion_mm_heap	63	Sleeping	15812.4082	3953.102049	4
kthreadd	2	kworker/1:2H	12396	Sleeping	15782.51638	6.379351	2474
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	15627.4478	64.57623	242
kthreadd	2	kworker/u8:1	14528	Sleeping	15565.96833	61.525566	253
org.mozilla.firefox	13990	mali-cmar-backe	14151	Sleeping	15540.37103	46.11386	337
org.mozilla.firefox	13990	Binder:13990_1	14006	Sleeping	15496.20263	2213.743232	7
kthreadd	2	ksoftirqd/1	15	Sleeping	15471.17748	195.837689	79
kthreadd	2	kworker/u8:0	14316	Sleeping	15471.06024	109.723831	141
kthreadd	2	dmcrypt_write	473	Sleeping	15456.92092	69.313546	223
