Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	kworker/u9:0	14368	Running	2384.533814	0.289596	8234
kthreadd	2	kworker/u9:1	14524	Running	2105.369566	0.24331	8653
org.mozilla.firefox	13990	Gecko	14037	Runnable	2049.480996	0.592678	3458
org.mozilla.firefox	13990	Gecko	14037	Uninterruptible Sleep	1942.768714	2.86122	679
org.mozilla.firefox	13990	Gecko	14037	Runnable (Preempted)	1876.122192	0.737469	2544
kthreadd	2	kworker/u9:5	8877	Running	1845.142579	0.218644	8439
org.mozilla.firefox	13990	mozilla.firefox	13990	Runnable	1791.600088	0.188311	9514
org.mozilla.firefox:tab0	14091	Web Content	14117	Sleeping	1484.680221	17.466826	85
org.mozilla.firefox	13990	pool-5-thread-1	14039	Uninterruptible Sleep	1465.049831	2.325475	630
org.mozilla.firefox	13990	mozilla.firefox	13990	Runnable (Preempted)	1392.391519	0.280102	4971
org.mozilla.firefox	13990	Jit thread pool	13996	Runnable (Preempted)	1323.492041	0.791562	1672
kthreadd	2	kworker/u9:2	14898	Runnable	1310.019589	0.136261	9614
org.mozilla.firefox	13990	RenderThread	14070	Running	1275.656671	0.769859	1657
kthreadd	2	kworker/u9:4	14337	Runnable	1273.021682	0.128718	9890
org.mozilla.firefox	13990	pool-6-thread-1	15607	Uninterruptible Sleep	1250.024591	4.480374	279
org.mozilla.firefox	13990	mozilla.firefox	13990	Uninterruptible Sleep + Wake Kill	1247.230206	1.921772	649
kthreadd	2	rcu_preempt	7	Runnable	1209.576376	0.272857	4433
org.mozilla.firefox	13990	Gecko_IOThread	14068	Uninterruptible Sleep	1141.743345	163.106192	7
org.mozilla.firefox	13990	pool-5-thread-1	14039	Runnable	1083.739056	0.886856	1222
kthreadd	2	kworker/u9:0	14368	Runnable	983.249599	0.137941	7128
org.mozilla.firefox	13990	RenderThread	14070	Uninterruptible Sleep + Wake Kill	949.141245	2.171947	437
kthreadd	2	kworker/u9:5	8877	Runnable	948.522808	0.127833	7420
kthreadd	2	kworker/u9:1	14524	Runnable	938.875536	0.122905	7639
org.mozilla.firefox	13990	queued-work-loo	14069	Sleeping	830.489237	138.414872	6
kthreadd	2	kworker/u8:0	14316	Uninterruptible Sleep	826.30916	9.955532	83
org.mozilla.firefox	13990	mali-mem-purge	14145	Uninterruptible Sleep + Wake Kill	776.136381	18.930155	41
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Sleeping	762.128076	25.404269	30
kthreadd	2	kworker/u9:5	8877	Uninterruptible Sleep	729.721843	145.944368	5
kthreadd	2	kworker/0:3	14518	Runnable	624.045275	0.240665	2593
org.mozilla.firefox:tab0	14091	Web Content	14117	Uninterruptible Sleep	604.009447	2.006675	301
kthreadd	2	kworker/2:1H	9263	Runnable	590.235641	0.069325	8514
org.mozilla.firefox	13990	pool-5-thread-1	14039	Running	540.660955	0.305458	1770
org.mozilla.firefox	13990	IPDL Background	14139	Runnable	525.934837	0.453392	1160
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Runnable	483.564797	0.485019	997
kthreadd	2	kworker/u8:2	9118	Uninterruptible Sleep	473.435892	9.104536	52
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Uninterruptible Sleep + Wake Kill	461.540578	14.888405	31
org.mozilla.firefox	13990	GleanAPIPool	14032	Uninterruptible Sleep	459.549192	2.108023	218
org.mozilla.firefox	13990	Thread-25	14164	Uninterruptible Sleep + Wake Kill	455.458661	5.487453	83
org.mozilla.firefox	13990	HeapTaskDaemon	14002	Running	450.41519	1.340521	336
kthreadd	2	kworker/u8:0	14316	Runnable	445.956271	0.46213	965
org.mozilla.firefox	13990	Thread-25	14164	Runnable (Preempted)	441.464127	1.593733	277
org.mozilla.firefox	13990	localStorage DB	15490	Uninterruptible Sleep	427.016427	25.118613	17
org.mozilla.firefox	13990	RenderThread	14070	Runnable (Preempted)	413.990571	0.616057	672
kthreadd	2	kworker/u8:2	9118	Runnable	413.556259	0.489415	845
org.mozilla.firefox	13990	DefaultDispatch	14042	Uninterruptible Sleep	412.35012	3.325404	124
org.mozilla.firefox	13990	DefaultDispatch	14033	Uninterruptible Sleep	411.640039	2.407251	171
org.mozilla.firefox	13990	DefaultDispatch	14033	Runnable	407.690511	0.713993	571
org.mozilla.firefox	13990	pool-5-thread-1	14039	Runnable (Preempted)	407.3242	0.752909	541
org.mozilla.firefox	13990	localStorage DB	15490	Uninterruptible Sleep + Wake Kill	400.4045	9.311732	43
kthreadd	2	kworker/2:1H	9263	Running	385.122751	0.02344	16430
org.mozilla.firefox:tab0	14091	JS Helper	14207	Runnable (Preempted)	384.54858	6.517772	59
/system/bin/surfaceflinger	3534	DispSync	3545	Running	364.801866	0.109648	3327
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Uninterruptible Sleep + Wake Kill	364.235958	5.278782	69
kthreadd	2	kworker/u8:0	14316	Runnable (Preempted)	359.944665	1.028413	350
kthreadd	2	kworker/0:3	14518	Uninterruptible Sleep	359.101135	0.284098	1264
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Runnable (Preempted)	314.990098	0.540291	583
org.mozilla.firefox	13990	Gecko_IOThread	14068	Runnable	314.333626	0.29908	1051
org.mozilla.firefox:tab0	14091	JS Helper	14207	Runnable	294.087655	1.477827	199
org.mozilla.firefox	13990	Thread-25	14164	Running	283.552863	0.52316	542
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Running	275.028572	0.173958	1581
/system/bin/surfaceflinger	3534	Binder:3534_4	3882	Uninterruptible Sleep + Wake Kill	265.72111	2.23295	119
org.mozilla.firefox	13990	pool-6-thread-1	15607	Running	260.667113	0.36974	705
org.mozilla.firefox:tab0	14091	TaskController	15484	Uninterruptible Sleep + Wake Kill	248.690256	17.763589	14
org.mozilla.firefox	13990	JS Watchdog	14086	Uninterruptible Sleep	243.063717	40.510619	6
org.mozilla.firefox	13990	RenderThread	14070	Runnable	236.438951	0.2435	971
org.mozilla.firefox:tab0	14091	Chrome_ChildThr	14201	Runnable	230.454712	0.224833	1025
org.mozilla.firefox	13990	IPDL Background	14139	Uninterruptible Sleep + Wake Kill	230.199941	4.697957	49
org.mozilla.firefox:tab0	14091	JS Helper	14207	Running	226.358011	0.877356	258
org.mozilla.firefox	13990	mali-mem-purge	14145	Uninterruptible Sleep	224.845328	9.368555	24
org.mozilla.firefox	13990	DefaultDispatch	14033	Running	217.428011	0.288366	754
org.mozilla.firefox	13990	pool-6-thread-1	15607	Uninterruptible Sleep + Wake Kill	211.239563	2.400449	88
kthreadd	2	kworker/u8:3	14523	Uninterruptible Sleep	209.873252	12.345485	17
kthreadd	2	kworker/u9:4	14337	Runnable (Preempted)	209.701457	0.27775	755
