Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
kthreadd	2	frame_update_wo	186	Sleeping	39002.93044	16.589932	2351
kthreadd	2	hps_main	158	Sleeping	38896.4075	99.734378	390
kthreadd	2	present_fence_w	185	Sleeping	38889.72505	16.562915	2348
kthreadd	2	kworker/1:0	2943	Sleeping	38879.16273	91.696138	424
kthreadd	2	kworker/1:2H	12396	Sleeping	38703.72511	14.868891	2603
kthreadd	2	ksoftirqd/1	15	Sleeping	38631.26555	167.234915	231
kthreadd	2	kworker/2:2H	12322	Sleeping	38565.82975	12.112383	3184
kthreadd	2	kworker/3:2	8217	Sleeping	38548.62362	98.0881	393
kthreadd	2	ksoftirqd/3	25	Sleeping	38535.14171	214.08412	180
/system/bin/surfaceflinger	3534	app	3548	Sleeping	38518.65113	10.070235	3825
kthreadd	2	kworker/2:2	8343	Sleeping	38487.19393	114.887146	335
kthreadd	2	kworker/0:1H	233	Sleeping	38388.44453	22.177033	1731
kthreadd	2	ksoftirqd/2	20	Sleeping	38331.53261	171.89028	223
/system/bin/surfaceflinger	3534	Binder:3534_1	3543	Sleeping	38321.03183	68.922719	556
kthreadd	2	kauditd	255	Sleeping	38257.75329	617.060536	62
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	38078.75073	6.635084	5739
kthreadd	2	ksoftirqd/0	6	Sleeping	38062.43903	127.726305	298
org.mozilla.firefox	9901	JS Watchdog	9989	Sleeping	38000.38588	974.368868	39
kthreadd	2	mtk charger_hv_	204	Sleeping	37998.66172	974.324659	39
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	37989.27965	974.084093	39
kthreadd	2	dmcrypt_write	473	Sleeping	37805.9204	108.637702	348
org.mozilla.firefox	9901	mali-mem-purge	10033	Sleeping	37805.76862	130.364719	290
org.mozilla.firefox	9901	mali-hist-dump	10039	Sleeping	37721.51639	134.719701	280
kthreadd	2	kworker/0:0	8767	Sleeping	37604.0908	31.052098	1211
kthreadd	2	kworker/3:0H	24523	Sleeping	37519.67337	14.475182	2592
kthreadd	2	kworker/u8:0	8214	Sleeping	37500.80435	40.761743	920
kthreadd	2	rcu_preempt	7	Sleeping	37379.23034	8.127686	4599
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	37306.9222	126.036899	296
kthreadd	2	kworker/u9:0	10256	Sleeping	37292.01156	16.018905	2328
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	37259.82065	246.753779	151
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	37181.83248	54.280047	685
org.mozilla.firefox:tab0	9994	JS Watchdog	10123	Sleeping	37000.8797	973.70736	38
kthreadd	2	kworker/u9:1	8199	Sleeping	36920.62596	12.113066	3048
kthreadd	2	kworker/0:2	9328	Sleeping	36848.82415	682.385632	54
kthreadd	2	kworker/u9:4	7927	Sleeping	36736.26392	19.5198	1882
org.mozilla.firefox	9901	Timer	10020	Sleeping	36660.53391	142.095092	258
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	36437.35925	64.835158	562
kthreadd	2	kworker/u9:5	8877	Sleeping	36351.78781	12.578473	2890
org.mozilla.firefox	9901	mali-cmar-backe	10038	Sleeping	36276.85485	23.587031	1538
kthreadd	2	file-storage	1853	Sleeping	36270.67109	541.353299	67
kthreadd	2	display_esd_che	183	Uninterruptible Sleep	36264.70709	1007.352974	36
org.mozilla.firefox	9901	StreamTrans #34	10257	Sleeping	36213.37654	86.428106	419
kthreadd	2	kworker/u9:2	8133	Sleeping	36189.00632	13.508401	2679
org.mozilla.firefox	9901	Binder:9901_3	9943	Sleeping	36146.02699	49.245268	734
org.mozilla.firefox	9901	GPU completion	10238	Sleeping	35730.30812	152.043864	235
org.mozilla.firefox:tab0	9994	Timer	10128	Sleeping	35712.87539	11.821541	3021
/system/bin/surfaceflinger	3534	Binder:3534_5	4093	Sleeping	35528.22447	23.653944	1502
org.mozilla.firefox	9901	Netlink Monitor	9983	Sleeping	35199.18675	11733.06225	3
org.mozilla.firefox	9901	Cache2 I/O	10027	Sleeping	35076.81666	343.890359	102
org.mozilla.firefox	9901	URL Classifier	10045	Sleeping	35008.71773	191.304468	183
org.mozilla.firefox	9901	Binder:9901_1	9917	Sleeping	34975.75204	50.616138	691
