Process	PID	Thread	TID	State	Wall duration (ms)	Avg Wall duration (ms)	Occurrences
org.mozilla.firefox	8452	JS Watchdog	8542	Sleeping	39001.20228	975.030057	40
org.mozilla.firefox	8452	mali-mem-purge	8590	Sleeping	38923.99404	98.791863	394
/system/bin/surfaceflinger	3534	surfaceflinger	3550	Sleeping	38906.64343	120.828085	322
/system/bin/surfaceflinger	3534	sf	3549	Sleeping	38859.56295	25.103076	1548
org.mozilla.firefox	8452	mali-hist-dump	8596	Sleeping	38817.82672	99.278329	391
/system/bin/surfaceflinger	3534	surfaceflinger	3551	Sleeping	38792.69066	61.283871	633
org.mozilla.firefox	8452	GPU completion	8784	Sleeping	38771.43657	40.984605	946
/system/bin/surfaceflinger	3534	app	3548	Sleeping	38241.82628	6.59683	5797
org.mozilla.firefox:tab0	8548	JS Watchdog	8666	Sleeping	38001.10903	974.387411	39
/system/bin/surfaceflinger	3534	SWWatchDog	3634	Sleeping	38001.10403	974.387282	39
org.mozilla.firefox:tab0	8548	Binder:8548_3	8566	Sleeping	38000.17257	60.317734	630
/system/bin/surfaceflinger	3534	DispSync	3545	Sleeping	37707.5885	4.328732	8711
/system/bin/surfaceflinger	3534	surfaceflinger	3534	Sleeping	37460.74943	29.31201	1278
org.mozilla.firefox:tab0	8548	JS Helper	8667	Sleeping	37179.09657	1004.840447	37
/system/bin/surfaceflinger	3534	Binder:3534_3	3727	Sleeping	37136.83001	16.713244	2222
org.mozilla.firefox:tab0	8548	Timer	8671	Sleeping	37106.52003	7.175888	5171
org.mozilla.firefox	8452	mali-cmar-backe	8595	Sleeping	36761.31831	8.61728	4266
org.mozilla.firefox	8452	IPDL Background	8602	Sleeping	36632.59518	9.55716	3833
media.codec	672	HwBinder:672_13	8990	Sleeping	36501.40596	493.262242	74
/system/bin/surfaceflinger	3534	Binder:3534_2	3546	Sleeping	36323.4704	17.884525	2031
org.mozilla.firefox	8452	Timer	8570	Sleeping	36202.93578	165.310209	219
org.mozilla.firefox	8452	mozilla.firefox	8452	Sleeping	36080.86882	13.574442	2658
org.mozilla.firefox	8452	localStorage DB	8807	Sleeping	35887.05575	1888.792407	19
org.mozilla.firefox	8452	Cache2 I/O	8575	Sleeping	35716.51511	330.708473	108
org.mozilla.firefox:media	8816	HwBinder:8816_1	8841	Sleeping	35710.05783	15.339371	2328
org.mozilla.firefox:tab0	8548	JS Helper	8668	Sleeping	35703.34672	1115.729585	32
org.mozilla.firefox	8452	Binder:8452_6	8948	Sleeping	35675.07858	18.58077	1920
org.mozilla.firefox:media	8816	FinalizerWatchd	8832	Sleeping	35624.23603	8906.059006	4
org.mozilla.firefox:tab0	8548	Thread-8	8979	Sleeping	35561.30831	7.272251	4890
media.codec	672	MtkOmxVdecThrea	8987	Sleeping	35554.63187	8.064103	4409
org.mozilla.firefox:media	8816	a.firefox:media	8816	Sleeping	35523.86344	13.166739	2698
org.mozilla.firefox	8452	StreamTrans #58	8974	Sleeping	35472.19693	78.827104	450
org.mozilla.firefox	8452	StreamTrans #57	8973	Sleeping	35469.36925	79.527733	446
org.mozilla.firefox	8452	GleanAPIPool	8487	Sleeping	35463.57816	3940.397573	9
org.mozilla.firefox:tab0	8548	JS Helper	8669	Sleeping	35327.83699	1177.594566	30
media.codec	672	OMXCallbackDisp	8991	Sleeping	35213.66792	14.233495	2474
org.mozilla.firefox:tab0	8548	ImageBridgeChld	8682	Sleeping	35201.65767	7.748548	4543
org.mozilla.firefox:tab0	8548	Binder:8548_8	8882	Sleeping	35111.13303	54.267593	647
org.mozilla.firefox	8452	URL Classifier	8600	Sleeping	35106.98798	148.13075	237
org.mozilla.firefox	8452	Jit thread pool	8458	Sleeping	35083.73889	1299.397736	27
media.codec	672	HwBinder:672_7	12286	Sleeping	34610.62682	11.284847	3067
media.codec	672	HwBinder:672_13	30080	Sleeping	34599.21262	24.98138	1385
org.mozilla.firefox:media	8816	MediaCodec_loop	8985	Sleeping	34515.00257	3.949988	8738
org.mozilla.firefox:tab0	8548	Thread-9	8992	Sleeping	34404.90912	6.98435	4926
org.mozilla.firefox	8452	DefaultDispatch	8500	Sleeping	34395.44098	838.913194	41
org.mozilla.firefox	8452	DefaultDispatch	8502	Sleeping	34381.75636	838.579423	41
org.mozilla.firefox:media	8816	Binder:8816_2	8834	Sleeping	34296.16522	11.757341	2917
org.mozilla.firefox	8452	Gecko_IOThread	8536	Sleeping	34254.38788	4.196298	8163
org.mozilla.firefox:tab0	8548	Binder:8548_2	8565	Sleeping	34203.1892	67.196835	509
